role,seniority,seniority_level,workplace,loc_factor,required_exp,candidate_exp,exp_gap,n_required,n_matched,n_missing,match_ratio,n_extra_skills,avg_skill_demand,salary_expected,salary_gap_ratio,workplace_match,job_salary,fit
Backend Node.js,Senior,3,HYBRID,1.05,10,8,-2,5,0,5,0.0,3,0.99,15400.0,-0.2837,0,21500.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,3,2,-1,5,2,3,0.4,3,0.99,17000.0,0.0366,1,16400.0,0
Fullstack,Senior,3,ONSITE,1.1,6,7,1,5,4,1,0.8,4,0.99,20300.0,-0.1135,1,22900.0,1
Fullstack,Pleno,2,ONSITE,1.1,3,5,2,5,4,1,0.8,2,0.99,17700.0,-0.0684,1,19000.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,5,7,2,5,2,3,0.4,4,1.2,22100.0,-0.009,1,22300.0,1
Frontend React,Senior,3,ONSITE,1.1,7,8,1,5,0,5,0.0,3,0.97,13900.0,-0.3119,0,20200.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,3,3,0,5,2,3,0.4,4,1.12,17600.0,-0.1111,1,19800.0,1
Backend Node.js,Pleno,2,REMOTE,1.0,5,4,-1,5,2,3,0.4,1,0.99,9900.0,-0.2774,1,13700.0,0
Data / Python,Junior,1,REMOTE,1.0,2,2,0,5,0,5,0.0,2,1.0,11600.0,0.0642,1,10900.0,0
Fullstack,Junior,1,HYBRID,1.05,0,2,2,5,0,5,0.0,3,0.99,10300.0,0.0404,1,9900.0,0
Data / Python,Junior,1,ONSITE,1.1,1,0,-1,5,0,5,0.0,1,1.0,11200.0,-0.0667,1,12000.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,3,5,2,5,5,0,1.0,1,1.2,16500.0,-0.218,1,21100.0,1
Frontend React,Senior,3,HYBRID,1.05,6,8,2,5,4,1,0.8,0,0.97,14200.0,-0.1446,1,16600.0,1
Backend Node.js,Pleno,2,HYBRID,1.05,3,1,-2,5,4,1,0.8,3,0.99,16600.0,0.2117,1,13700.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,12,12,0,5,3,2,0.6,2,1.2,25900.0,0.0078,1,25700.0,1
